name,district,party,age,email
Sławomir Ćwik,7 Chełm,Polska2050-TD,2003,Slawomir.Cwik@sejm.pl
Władysław Dajczak,8 Zielona Góra,PiS,2013,Wladyslaw.Dajczak@sejm.pl
Anna Dąbrowska-Banaszek,7 Chełm,PiS,2009,Anna.Dabrowska-Banaszek@sejm.pl
Zbigniew Dolata,37 Konin,PiS,2022,Zbigniew.Dolata@sejm.pl
Barbara Dolniak,32 Katowice,KO,2011,Barbara.Dolniak@sejm.pl
Andrzej Domański,19 Warszawa,KO,1996,Andrzej.Domanski@sejm.pl
Bartłomiej Dorywalski,33 Kielce,PiS,2007,Bartlomiej.Dorywalski@sejm.pl
Robert Dowhan,8 Zielona Góra,KO,2009,Robert.Dowhan@sejm.pl
Przemysław Drabek,27 Bielsko-Biała,PiS,2021,Przemyslaw.Drabek@sejm.pl
Elżbieta Duda,13 Kraków,PiS,2003,Elzbieta.Duda@sejm.pl
Michał Paweł Dworczyk,2 Wałbrzych,PiS,2001,Michal.Dworczyk@sejm.pl
Adam Dziedzic,23 Rzeszów,PSL-TD,1997,Adam.Dziedzic@sejm.pl
Jan Michał Dziedziczak,36 Kalisz,PiS,2020,Jan.Dziedziczak@sejm.pl
Agnieszka Dziemianowicz-Bąk,26 Słupsk,Lewica,2004,Agnieszka.Dziemianowicz-Bak@sejm.pl
Magdalena Filiks,41 Szczecin,KO,2015,Magdalena.Filiks@sejm.pl
Magdalena Filipek-Sobczak,6 Lublin,PiS,2016,Magdalena.Filipek-Sobczak@sejm.pl
Radosław Fogiel,17 Radom,PiS,2007,Radoslaw.Fogiel@sejm.pl
Bronisław Foltyn,27 Bielsko-Biała,Konfederacja,2011,Bronislaw.Foltyn@sejm.pl
Roman Fritz,30 Bielsko-Biała,Konfederacja,2021,Roman.Fritz@sejm.pl
Joanna Frydrych,22 Krosno,KO,2011,Joanna.Frydrych@sejm.pl
Konrad Frysztak,17 Radom,KO,2008,Konrad.Frysztak@sejm.pl
Patryk Gabriel,25 Gdańsk,KO,1994,Patryk.Gabriel@sejm.pl
Krzysztof Gadowski,30 Bielsko-Biała,KO,2009,Krzysztof.Gadowski@sejm.pl
Aleksandra Gajewska,19 Warszawa,KO,2001,Aleksandra.Gajewska@sejm.pl
Kinga Gajewska,20 Warszawa,KO,2001,Kinga.Gajewska@sejm.pl
Elżbieta Gapińska,16 Płock,KO,2020,Elzbieta.Gapinska@sejm.pl
Kamila Gasiuk-Pihowicz,18 Siedlce,KO,2015,Kamila.Gasiuk-Pihowicz@sejm.pl
Krzysztof Gawkowski,4 Bydgoszcz,Lewica,2012,Krzysztof.Gawkowski@sejm.pl
Zdzisław Gawlik,23 Rzeszów,KO,2011,Zdzislaw.Gawlik@sejm.pl
Andrzej Gawron,28 Częstochowa,PiS,2018,Andrzej.Gawron@sejm.pl
Grzegorz Gaża,27 Bielsko-Biała,PiS,2000,Grzegorz.Gaza@sejm.pl
Elżbieta Gelert,34 Elbląg,KO,2001,Elzbieta.Gelert@sejm.pl
Anna Gembicka,5 Toruń,PiS,2016,Anna.Gembicka@sejm.pl
Artur Daniel Gierada,33 Kielce,KO,2002,Artur.Gierada@sejm.pl
Roman Giertych,33 Kielce,KO,1996,Roman.Giertych@sejm.pl
Włodzisław Giziński,4 Bydgoszcz,KO,2004,Wlodzislaw.Gizinski@sejm.pl
Szymon Giżyński,28 Częstochowa,PiS,2015,Szymon.Gizynski@sejm.pl
Piotr Gliński,19 Warszawa,PiS,2003,Piotr.Glinski@sejm.pl
Tomasz Głogowski,29 Katowice,KO,1993,Tomasz.Glogowski@sejm.pl
Piotr Głowski,38 Piła,KO,2001,Piotr.Glowski@sejm.pl
Marta Golbik,29 Katowice,KO,2009,Marta.Golbik@sejm.pl
Małgorzata Golińska,40 Koszalin,PiS,1993,Malgorzata.Golinska@sejm.pl
Kazimierz Gołojuch,23 Rzeszów,PiS,2018,Kazimierz.Golojuch@sejm.pl
Adam Gomoła,21 Opole,Polska2050-TD,2004,Adam.Gomola@sejm.pl
Robert Gontarz,34 Elbląg,PiS,2021,Robert.Gontarz@sejm.pl
Stanisław Gorczyca,34 Elbląg,KO,1996,Stanislaw.Gorczyca@sejm.pl
Mariusz Gosek,33 Kielce,PiS,2003,Mariusz.Gosek@sejm.pl
Daria Gosek-Popiołek,13 Kraków,Lewica,2007,Daria.Gosek-Popiolek@sejm.pl
Małgorzata Gosiewska,19 Warszawa,PiS,2001,Malgorzata.Gosiewska@sejm.pl
Piotr Górnikiewicz,15 Tarnów,Polska2050-TD,2014,Piotr.Gornikiewicz@sejm.pl
Agnieszka Górska,17 Radom,PiS,2023,Agnieszka.Gorska@sejm.pl
Krzysztof Grabczuk,7 Chełm,KO,2001,Krzysztof.Grabczuk@sejm.pl
Jan Grabiec,20 Warszawa,KO,2021,Jan.Grabiec@sejm.pl
Marcin Grabowski,18 Siedlce,PiS,2017,Marcin.Grabowski@sejm.pl
Michał Gramatyka,31 Katowice,Polska2050-TD,2015,Michal.Gramatyka@sejm.pl
Małgorzata Gromadzka,7 Chełm,KO,1999,Malgorzata.Gromadzka@sejm.pl
Marek Gróbarczyk,41 Szczecin,PiS,2010,Marek.Grobarczyk@sejm.pl
Andrzej Grzyb,36 Kalisz,PSL-TD,2000,Andrzej.Grzyb@sejm.pl
Andrzej Gut-Mostowy,14 Nowy Sącz,PiS,1993,Andrzej.Gut-Mostowy@sejm.pl
Kazimierz Gwiazdowski,24 Białystok,PiS,2013,Kazimierz.Gwiazdowski@sejm.pl
Marcin Gwóźdź,2 Wałbrzych,PiS,2009,Marcin.Gwozdz@sejm.pl
Marek Gzik,29 Katowice,KO,2020,Marek.Gzik@sejm.pl
Krzysztof Habura,11 Sieradz,KO,2021,Krzysztof.Habura@sejm.pl
Agnieszka Hanajczyk,11 Sieradz,KO,2012,Agnieszka.Hanajczyk@sejm.pl
Iwona Hartwich,5 Toruń,KO,2017,Iwona.Hartwich@sejm.pl
Paulina Hennig-Kloska,37 Konin,Polska2050-TD,2018,Paulina.Hennig-Kloska@sejm.pl
Krzysztof Hetman,6 Lublin,PSL-TD,1996,Krzysztof.Hetman@sejm.pl
Czesław Hoc,40 Koszalin,PiS,2001,Czeslaw.Hoc@sejm.pl
Zbigniew Hoffmann,37 Konin,PiS,2018,Zbigniew.Hoffmann@sejm.pl
Marek Tomasz Hok,40 Koszalin,KO,2008,Marek.Hok@sejm.pl
Szymon Hołownia,24 Białystok,Polska2050-TD,2020,Szymon.Holownia@sejm.pl
Marcin Horała,26 Słupsk,PiS,2021,Marcin.Horala@sejm.pl
Łukasz Horbatowski,1 Legnica,KO,2009,Lukasz.Horbatowski@sejm.pl
Paweł Hreniak,3 Wrocław,PiS,2014,Pawel.Hreniak@sejm.pl
Paweł Jabłoński,30 Bielsko-Biała,PiS,1999,Pawel.Jablonski@sejm.pl
Klaudia Jachira,19 Warszawa,KO,1992,Klaudia.Jachira@sejm.pl
Marek Jakubiak,19 Warszawa,Kukiz15,1993,Marek.Jakubiak@sejm.pl
Maria Małgorzata Janyska,38 Piła,KO,2008,Maria.Janyska@sejm.pl
Michał Jaros,3 Wrocław,KO,1998,Michal.Jaros@sejm.pl
Patryk Jaskulski,41 Szczecin,KO,2005,Patryk.Jaskulski@sejm.pl
Danuta Jazłowiecka,21 Opole,KO,2004,Danuta.Jazlowiecka@sejm.pl
Dariusz Joński,9 Łódź,KO,2012,Dariusz.Jonski@sejm.pl
Marcin Józefaciuk,9 Łódź,KO,2006,Marcin.Jozefaciuk@sejm.pl
Norbert Jakub Kaczmarczyk,15 Tarnów,PiS,2007,Norbert.Kaczmarczyk@sejm.pl
Filip Kaczyński,12 Kraków,PiS,2004,Filip.Kaczynski@sejm.pl
Jarosław Kaczyński,33 Kielce,PiS,2005,Jaroslaw.Kaczynski@sejm.pl
Piotr Kaleta,36 Kalisz,PiS,1998,Piotr.Kaleta@sejm.pl
Sebastian Kaleta,19 Warszawa,PiS,1994,Sebastian.Kaleta@sejm.pl
Mariusz Kałużny,5 Toruń,PiS,2013,Mariusz.Kaluzny@sejm.pl
Mariusz Kamiński,7 Chełm,PiS,1998,Mariusz.Kaminski@sejm.pl
Piotr Kandyba,20 Warszawa,KO,2010,Piotr.Kandyba@sejm.pl
Jan Kanthak,6 Lublin,PiS,2003,Jan.Kanthak@sejm.pl
Fryderyk Sylwester Kapinos,23 Rzeszów,PiS,1992,Fryderyk.Kapinos@sejm.pl
Jacek Karnowski,25 Gdańsk,KO,2007,Jacek.Karnowski@sejm.pl
Iwona Karolewska,4 Bydgoszcz,KO,2012,Iwona.Karolewska@sejm.pl
Rafał Kasprzyk,33 Kielce,Polska2050-TD,1996,Rafal.Kasprzyk@sejm.pl
Henryk Kiepura,28 Częstochowa,PSL-TD,2013,Henryk.Kiepura@sejm.pl
Marcin Kierwiński,16 Płock,KO,2001,Marcin.Kierwinski@sejm.pl
Katarzyna Kierzek-Koperska,39 Poznań,KO,2014,Katarzyna.Kierzek-Koperska@sejm.pl
Dariusz Klimczak,10 Piotrków Trybunalski,PSL-TD,2006,Dariusz.Klimczak@sejm.pl
Joanna Kluzik-Rostkowska,17 Radom,KO,2009,Joanna.Kluzik-Rostkowska@sejm.pl
Agnieszka Maria Kłopotek,4 Bydgoszcz,PSL-TD,2014,Agnieszka.Klopotek@sejm.pl
Łukasz Kmita,12 Kraków,PiS,2016,Lukasz.Kmita@sejm.pl
Michał Kobosko,19 Warszawa,Polska2050-TD,2008,Michal.Kobosko@sejm.pl
Maria Koc,18 Siedlce,PiS,2001,Maria.Koc@sejm.pl
Ewa Kołodziej,31 Katowice,KO,2021,Ewa.Kolodziej@sejm.pl
Magdalena Małgorzata Kołodziejczak,25 Gdańsk,KO,2004,Magdalena.Kolodziejczak@sejm.pl
Michał Kołodziejczak,37 Konin,KO,2009,Michal.Kolodziejczak@sejm.pl
Rafał Komarewicz,13 Kraków,Polska2050-TD,2013,Rafal.Komarewicz@sejm.pl
Maciej Konieczny,31 Katowice,Lewica,2009,Maciej.Konieczny@sejm.pl
Zbigniew Konwiński,26 Słupsk,KO,1999,Zbigniew.Konwinski@sejm.pl
Władysław Kosiniak-Kamysz,15 Tarnów,PSL-TD,2013,Wladyslaw.Kosiniak-Kamysz@sejm.pl
Tomasz Kostuś,21 Opole,KO,2016,Tomasz.Kostus@sejm.pl
Andrzej Kosztowniak,17 Radom,PiS,1992,Andrzej.Kosztowniak@sejm.pl
Katarzyna Kotula,25 Gdańsk,Lewica,2022,Katarzyna.Kotula@sejm.pl
Paweł Kowal,23 Rzeszów,KO,2001,Pawel.Kowal@sejm.pl
Henryk Kowalczyk,18 Siedlce,PiS,2008,Henryk.Kowalczyk@sejm.pl
Janusz Kowalski,21 Opole,PiS,2012,Janusz.Kowalski@sejm.pl
Bartosz Józef Kownacki,4 Bydgoszcz,PiS,2012,Bartosz.Kownacki@sejm.pl
Iwona Maria Kozłowska,4 Bydgoszcz,KO,2012,Iwona.Kozlowska@sejm.pl
Stefan Krajewski,24 Białystok,PSL-TD,2015,Stefan.Krajewski@sejm.pl
Wiesław Krajewski,15 Tarnów,PiS,2020,Wieslaw.Krajewski@sejm.pl
Leonard Krasulski,34 Elbląg,PiS,2015,Leonard.Krasulski@sejm.pl
Iwona Małgorzata Krawczyk,1 Legnica,KO,2004,Iwona.Krawczyk@sejm.pl
Michał Krawczyk,6 Lublin,KO,2002,Michal.Krawczyk@sejm.pl
Robert Kropiwnicki,1 Legnica,KO,2000,Robert.Kropiwnicki@sejm.pl
Piotr Król,4 Bydgoszcz,PiS,1997,Piotr.Krol@sejm.pl
Wojciech Król,31 Katowice,KO,2001,Wojciech.Krol@sejm.pl
Anna Krupka,33 Kielce,PiS,1993,Anna.Krupka@sejm.pl
Andrzej Kryj,33 Kielce,PiS,2014,Andrzej.Kryj@sejm.pl
Mariusz Krystian,12 Kraków,PiS,2005,Mariusz.Krystian@sejm.pl
Marek Krząkała,30 Bielsko-Biała,KO,2001,Marek.Krzakala@sejm.pl
Adam Krzemiński,16 Płock,KO,2010,Adam.Krzeminski@sejm.pl
Henryka Krzywonos-Strycharska,26 Słupsk,KO,1996,Henryka.Krzywonos-Strycharska@sejm.pl
Krzysztof Kubów,1 Legnica,PiS,2001,Krzysztof.Kubow@sejm.pl
Anita Kucharska-Dziedzic,8 Zielona Góra,Lewica,2003,Anita.Kucharska-Dziedzic@sejm.pl
Marek Kuchciński,22 Krosno,PiS,2014,Marek.Kuchcinski@sejm.pl
Paweł Kukiz,21 Opole,Kukiz15,1999,Pawel.Kukiz@sejm.pl
Marcin Kulasek,35 Olsztyn,Lewica,2019,Marcin.Kulasek@sejm.pl
Maria Kurowska,22 Krosno,PiS,2020,Maria.Kurowska@sejm.pl
Władysław Kurowski,12 Kraków,PiS,2009,Wladyslaw.Kurowski@sejm.pl
Zbigniew Krzysztof Kuźmiuk,17 Radom,PiS,2004,Zbigniew.Kuzmiuk@sejm.pl
Anna Kwiecień,17 Radom,PiS,1993,Anna.Kwiecien@sejm.pl
Piotr Lachowicz,14 Nowy Sącz,KO,1994,Piotr.Lachowicz@sejm.pl
Stanisław Lamczyk,26 Słupsk,KO,2011,Stanislaw.Lamczyk@sejm.pl
Maciej Lasek,20 Warszawa,KO,2008,Maciej.Lasek@sejm.pl
Gabriela Lenartowicz,30 Bielsko-Biała,KO,2011,Gabriela.Lenartowicz@sejm.pl
Ewa Leniart,23 Rzeszów,PiS,1996,Ewa.Leniart@sejm.pl
Aleksandra Leo,2 Wałbrzych,Polska2050-TD,1995,Aleksandra.Leo@sejm.pl
Izabela Leszczyna,28 Częstochowa,KO,2020,Izabela.Leszczyna@sejm.pl
Joanna Lichocka,11 Sieradz,PiS,2002,Joanna.Lichocka@sejm.pl
Krzysztof Lipiec,33 Kielce,PiS,2012,Krzysztof.Lipiec@sejm.pl
Łukasz Litewka,32 Katowice,Lewica,2014,Lukasz.Litewka@sejm.pl
Grzegorz Lorek,10 Piotrków Trybunalski,PiS,1992,Grzegorz.Lorek@sejm.pl
Radosław Lubczyk,40 Koszalin,PSL-TD,2005,Radoslaw.Lubczyk@sejm.pl
Katarzyna Anna Lubnauer,19 Warszawa,KO,1999,Katarzyna.Lubnauer@sejm.pl
Adam Luboński,38 Piła,Polska2050-TD,1993,Adam.Lubonski@sejm.pl
Artur Jarosław Łącki,41 Szczecin,KO,2018,Artur.Lacki@sejm.pl
Alicja Łepkowska-Gołaś,24 Białystok,KO,2023,Alicja.Lepkowska-Golas@sejm.pl
Dorota Łoboda,19 Warszawa,KO,2004,Dorota.Loboda@sejm.pl
Krystian Łuczak,5 Toruń,KO,2008,Krystian.Luczak@sejm.pl
Sebastian Łukaszewicz,24 Białystok,PiS,2014,Sebastian.Lukaszewicz@sejm.pl
Marzena Anna Machałek,1 Legnica,PiS,1994,Marzena.Machalek@sejm.pl
Antoni Macierewicz,10 Piotrków Trybunalski,PiS,2020,Antoni.Macierewicz@sejm.pl
Marlena Magdalena Maląg,36 Kalisz,PiS,2021,Marlena.Malag@sejm.pl
Ewa Malik,32 Katowice,PiS,2013,Ewa.Malik@sejm.pl
Mirosław Maliszewski,17 Radom,PSL-TD,1995,Miroslaw.Maliszewski@sejm.pl
Maciej Małecki,16 Płock,PiS,2014,Maciej.Malecki@sejm.pl
Arkadiusz Marchewka,41 Szczecin,KO,2006,Arkadiusz.Marchewka@sejm.pl
Jagna Marczułajtis-Walczak,13 Kraków,KO,2008,Jagna.Marczulajtis-Walczak@sejm.pl
Dorota Marek,13 Kraków,KO,1995,Dorota.Marek@sejm.pl
Dariusz Matecki,41 Szczecin,PiS,2017,Dariusz.Matecki@sejm.pl
Jerzy Materna,8 Zielona Góra,PiS,1998,Jerzy.Materna@sejm.pl
Grzegorz Matusiak,30 Bielsko-Biała,PiS,1999,Grzegorz.Matusiak@sejm.pl
Katarzyna Matusik-Lipiec,13 Kraków,KO,1994,Katarzyna.Matusik-Lipiec@sejm.pl
Marek Matuszewski,11 Sieradz,PiS,2009,Marek.Matuszewski@sejm.pl
Paulina Matysiak,11 Sieradz,Lewica,2021,Paulina.Matysiak@sejm.pl
Łukasz Mejza,8 Zielona Góra,PiS,2008,Lukasz.Mejza@sejm.pl
Sławomir Mentzen,19 Warszawa,Konfederacja,2003,Slawomir.Mentzen@sejm.pl
Anna Milczanowska,10 Piotrków Trybunalski,PiS,2005,Anna.Milczanowska@sejm.pl
Daniel Milewski,18 Siedlce,PiS,2001,Daniel.Milewski@sejm.pl
Rajmund Miller,21 Opole,KO,2007,Rajmund.Miller@sejm.pl
Aleksander Miszalski,13 Kraków,KO,2016,Aleksander.Miszalski@sejm.pl
Mateusz Morawiecki,31 Katowice,PiS,2003,Mateusz.Morawiecki@sejm.pl
Jan Mosiński,36 Kalisz,PiS,2004,Jan.Mosinski@sejm.pl
Michał Moskal,6 Lublin,PiS,2017,Michal.Moskal@sejm.pl
Czesław Mroczek,18 Siedlce,KO,2003,Czeslaw.Mroczek@sejm.pl
Aleksander Mikołaj Mrówczyński,26 Słupsk,PiS,2014,Aleksander.Mrowczynski@sejm.pl
Izabela Katarzyna Mrzygłocka,2 Wałbrzych,KO,2003,Izabela.Mrzyglocka@sejm.pl
Joanna Mucha,6 Lublin,Polska2050-TD,2011,Joanna.Mucha@sejm.pl
Arkadiusz Mularczyk,14 Nowy Sącz,PiS,2019,Arkadiusz.Mularczyk@sejm.pl
Krzysztof Mulawa,18 Siedlce,Konfederacja,1999,Krzysztof.Mulawa@sejm.pl
Piotr Müller,26 Słupsk,PiS,2021,Piotr.Muller@sejm.pl
Arkadiusz Myrcha,5 Toruń,KO,2022,Arkadiusz.Myrcha@sejm.pl
Grzegorz Bernard Napieralski,41 Szczecin,KO,2005,Grzegorz.Napieralski@sejm.pl
Dorota Niedziela,12 Kraków,KO,2003,Dorota.Niedziela@sejm.pl
Jacek Niedźwiedzki,24 Białystok,KO,2010,Jacek.Niedzwiedzki@sejm.pl
Małgorzata Niemczyk,9 Łódź,KO,1998,Malgorzata.Niemczyk@sejm.pl
Jolanta Niezgodzka,3 Wrocław,KO,1997,Jolanta.Niezgodzka@sejm.pl
Sławomir Nitras,41 Szczecin,KO,1997,Slawomir.Nitras@sejm.pl
Barbara Nowacka,26 Słupsk,KO,2013,Barbara.Nowacka@sejm.pl
Maja Ewa Nowak,8 Zielona Góra,Polska2050-TD,2016,Maja.Nowak@sejm.pl
Tomasz Piotr Nowak,37 Konin,KO,2001,Tomasz.Nowak@sejm.pl
Wanda Nowicka,29 Katowice,Lewica,2002,Wanda.Nowicka@sejm.pl
Urszula Nowogórska,14 Nowy Sącz,PSL-TD,1994,Urszula.Nowogorska@sejm.pl
Mirosława Nykiel,27 Bielsko-Biała,KO,2000,Miroslawa.Nykiel@sejm.pl
Marcin Ociepa,21 Opole,PiS,2002,Marcin.Ociepa@sejm.pl
Marzena Okła-Drewnowicz,33 Kielce,KO,2003,Marzena.Okla-Drewnowicz@sejm.pl
Barbara Okuła,24 Białystok,Polska2050-TD,2019,Barbara.Okula@sejm.pl
Barbara Oliwiecka,36 Kalisz,Polska2050-TD,2017,Barbara.Oliwiecka@sejm.pl
Dorota Olko,19 Warszawa,Lewica,2011,Dorota.Olko@sejm.pl
Paweł Olszewski,4 Bydgoszcz,KO,2012,Pawel.Olszewski@sejm.pl
Mirosław Adam Orliński,16 Płock,PSL-TD,2002,Miroslaw.Orlinski@sejm.pl
Łukasz Osmalak,30 Bielsko-Biała,Polska2050-TD,2006,Lukasz.Osmalak@sejm.pl
Katarzyna Osos,8 Zielona Góra,KO,2006,Katarzyna.Osos@sejm.pl
Jacek Osuch,13 Kraków,PiS,1995,Jacek.Osuch@sejm.pl
Jacek Ozdoba,16 Płock,PiS,2001,Jacek.Ozdoba@sejm.pl
Teresa Pamuła,22 Krosno,PiS,1995,Teresa.Pamula@sejm.pl
Paweł Papke,35 Olsztyn,KO,2010,Pawel.Papke@sejm.pl
Urszula Pasławska,35 Olsztyn,PSL-TD,1996,Urszula.Paslawska@sejm.pl
Krzysztof Paszyk,38 Piła,PSL-TD,2013,Krzysztof.Paszyk@sejm.pl
Karolina Pawliczak,36 Kalisz,KO,1998,Karolina.Pawliczak@sejm.pl
Bartłomiej Pejo,6 Lublin,Konfederacja,2019,Bartlomiej.Pejo@sejm.pl
Ryszard Petru,19 Warszawa,Polska2050-TD,2017,Ryszard.Petru@sejm.pl
Małgorzata Pępek,27 Bielsko-Biała,KO,2013,Malgorzata.Pepek@sejm.pl
Bolesław Piecha,30 Bielsko-Biała,PiS,2004,Boleslaw.Piecha@sejm.pl
Grzegorz Piechowiak,38 Piła,PiS,2009,Grzegorz.Piechowiak@sejm.pl
Anna Pieczarka,15 Tarnów,PiS,2008,Anna.Pieczarka@sejm.pl
Katarzyna Maria Piekarska,19 Warszawa,KO,2000,Katarzyna.Piekarska@sejm.pl
Norbert Pietrykowski,4 Bydgoszcz,Polska2050-TD,2006,Norbert.Pietrykowski@sejm.pl
Lucjan Marek Pietrzczyk,33 Kielce,KO,1999,Lucjan.Pietrzczyk@sejm.pl
Dariusz Piontkowski,24 Białystok,PiS,2006,Dariusz.Piontkowski@sejm.pl
Kazimierz Plocke,26 Słupsk,KO,2020,Kazimierz.Plocke@sejm.pl
Grzegorz Adam Płaczek,31 Katowice,Konfederacja,2010,Grzegorz.Placzek@sejm.pl
Kacper Płażyński,25 Gdańsk,PiS,2013,Kacper.Plazynski@sejm.pl
Szymon Pogoda,1 Legnica,PiS,2001,Szymon.Pogoda@sejm.pl
Jerzy Polaczek,31 Katowice,PiS,1999,Jerzy.Polaczek@sejm.pl
Elżbieta Anna Polak,8 Zielona Góra,KO,2017,Elzbieta.Polak@sejm.pl
Piotr Polak,11 Sieradz,PiS,2004,Piotr.Polak@sejm.pl
Agnieszka Pomaska,25 Gdańsk,KO,2016,Agnieszka.Pomaska@sejm.pl
Marcin Porzucek,38 Piła,PiS,2003,Marcin.Porzucek@sejm.pl
Jacek Protas,34 Elbląg,KO,2009,Jacek.Protas@sejm.pl
Marcin Przydacz,11 Sieradz,PiS,1997,Marcin.Przydacz@sejm.pl
